Name,Year,Rating,Runtime,Votes
Laila Manju,2020,6.7,,7
X Ray: The Inner Image,2019,3.4,93,40
Baa Baaa Black Sheep,2018,6.4,103,446
Devil's Daughter,2019,2.6,89,172
Squad,2020,,,
Darkness Visible,2019,5.6,107,329
Gamanam,2021,,,
Marne Bhi Do Yaaron,2019,4.9,130,73
Zahoor,,,,
Rai,,,,
Deja Vu,2021,,,
The Rapist 2021,2021,,,
The House on the Cliff,2021,,,
Shooter,2021,,143,
My Birthday Song,2018,5.5,95,258
Bolo Hau,2021,,94,
Ekta,2019,8,99,36
21: Battle of Saragarhi,,,,
Leera the Soulmate,2018,6.3,104,1624
The Great Indian Escape,2019,7.1,117,39
Hyderabad Nawabs 2,2019,5.2,125,27
Blind,(III,,,
Gun Pe Done,2019,,120,
Bunker,2020,6.8,98,82
PaaniLok,,,,
Noise of Silence,2021,7.2,110,46
Amriki Pandit,2021,,,
Filmi Raasleela,2020,,126,
Mere Desh Ki Dharti,2021,,,
Jism 3,,,135,
Boxer,(III,,164,
Indian Never Again Nirbhaya,2018,6.5,,27
Machaan,2021,8.6,124,93
Tsunami,2022,,,
Page 16,2018,3.9,112,31
Ishqeria,2018,4.1,118,167
K7- The Story of Seven Immortals,,,,
Om Shri Satya Sai Baba,2021,,,
22 Yards,2019,6.1,126,361
Broken Wings,(III,,125,
Atithi Kab Aoge Shhamshan,2020,5.9,135,7
Gho Gho Rani,2019,9.4,105,47
1911,,,,
The Lift,2021,,,
Khuda Haafiz Chapter II,,,,
The Maya Tape,,,100,
Marudhar Express,2019,6.1,106,554
Chousar Firangi,2019,6.8,95,85
Hurdang,,,,
Bulbul Tarang,,,,
Baba Teerthnath,2022,,,
Out of the Blue,2021,,,
Toba Tek Singh,2018,6.9,75,118
Happi,2019,7.4,135,69
Laali,2019,6.6,45,18
The Chase,2021,,,
Haunted Evil Dead,2020,,98,
Unlock,2020,5.4,,9
P Se Pyaar F Se Faraar,2019,6.8,131,641
Little boy,2019,,137,
Yours Truly,2018,5.9,84,102
Kwatha,,,,
Boyfriend.com,2018,,,
Tank Cleaner,2021,8.7,155,20
Montu Ki Paltan,2020,,100,
The Last Rave,,,,
Cypher,2019,8.3,130,29
WOMB (Women of my Billion),,,,
Jungle Mystery Of Murder,2019,,,
Laila Aur Satt Geet,2020,6.7,96,87
Never Give Up,2019,,136,
Alpha Beta Gamma,2021,,124,
Night Encounters,,,89,
The Great Man,,,,
Going Rogue,,,140,
Mahakaleshwar - Legends of Shiva,2019,9.3,,18
Alert 24X7,,,,
Yug the law of karma,2021,7.7,75,10
Mehsampur,2018,6.6,99,41
Remember Amnesia,2019,7.7,88,29
Tauba Tera Jalwa,2021,,,
Shaadi ke patasey,2019,6.9,90,7
Waah Zindagi,,,130,
Seasons Greeting,2019,6.5,47,32
3 Shyaane,2020,,,
Idam Jagath,2018,5.4,126,115
Jwlwi - The Seed,2019,8,90,24
Friends In Law,2018,6.8,85,48
A Thursday,2021,,,
Bansuri: The Flute,2021,3.7,108,7
Dhaad,2018,5.5,135,13
Pari,2021,,,
Kottayam,2020,6.9,100,13
Kandy Twist,2019,8.2,113,8
3rd EYE,2019,6.3,145,6
Dahi Cheeni,,,,
Home Stories,2020,6.6,47,18
"LSD: Love, Sex Aur Dhokha 2",,,,
The Window,2018,7,118,33
Hush,2021,,,
Kutte Ki Dum,2018,8.9,143,10
Country of Blind,,,,
Lorni - The Flaneur,2019,7,107,5
Vettai Mannan,,,,
Gwalior,,,98,
Amar Prem,2020,4.4,143,25
Kastoori,2019,8.7,100,31
Gaalib,2021,,,
Ferrous,(I,,140,
Khajoor Pe Atke,2018,5.6,119,221
Jogira Sara Ra Ra,2021,,,
I Am Zero,2019,8.2,,8
Bishwa,2020,,,
B Positive,,,140,
Sin Story,,,,
Bye2,2020,8.1,48,29
Omprakash Zindabad,2020,4.9,130,11
Anya The Other,2019,,,
Love All,,,,
Barah by Barah,2021,,118,
Sonam Gupta Bewafa Hai,2021,,,
Myrah,2018,5.7,134,13
Coat,2021,,,
I Am Draupadi,2021,,110,
Jaako Raakhe Saaiyan,2021,,,
Timir,2022,,100,
Teri Bhabhi Hai Pagle,2018,3.1,125,125
A Game Called Relationship,2020,6.3,109,181
Scam,(IV,,,
The Hidden Strike,2020,3.5,100,41
Secret,(II,,,
The Bridge,2020,,,
Phir Se...,2018,5.4,118,206
